"nta_name","nta_code","total_pop","female","hispanic","white","black","other","foreign_born","limited_eng","education","poverty","unemployment","preterm_births","smm","gonorrhea","health_ins","medicaid_enroll","late_no_prenatal_care","clinics","community_health_centers","non_pcmd","clinics_and_chc_count","clinics_and_chc_density","non_pcmd_density"
"Highbridge","BX26",38793,52.7,65,1.5,32.5,1,37.4,32.3,35.9,43,18.4,9.5,307.3,224.3,85.3,59.4,11.9,0,0,2,0,0,0.515556930374036
"Hunts Point","BX27",26780,51.9,74,1,23.3,1.7,28.2,33.8,41.4,42.7,18.3,9.7,291.6,431.3,82.7,59.2,13.3,1,1,34,2,0.746825989544436,12.6960418222554
"Van Cortlandt Village","BX28",49787,52.5,65.2,9.7,19.6,5.5,40.2,29.1,27.5,26.2,16.3,9.2,253.2,149.6,81.9,46.5,9.1,0,0,5,0,0,1.00427822523952
"Spuyten Duyvil-Kingsbridge","BX29",31434,52.1,37.4,46.6,8.6,7.4,26.7,15,12.9,11.5,8.1,7.9,163.8,77.9,92,22.5,5.2,2,0,67,2,0.636253737990711,21.3145002226888
"Kingsbridge Heights","BX30",30088,53.9,71.9,2.6,19.1,6.5,43.7,33.9,32.5,32.5,16.2,8.9,248.3,206.1,80.9,60.1,10.4,1,0,67,1,0.332358415315076,22.2680138261101
"Allerton-Pelham Gardens","BX31",33848,52.3,31.4,26,31.3,11.3,34.9,14.4,21.7,12.9,14.1,10,292.7,130,90.9,27.7,12.1,1,0,49,1,0.295438430631057,14.4764831009218
"Longwood","BX33",27438,52,74.5,1.3,22.6,1.6,31.9,36,43.7,38.5,12.7,9,301.5,251.5,83.5,60.1,13.7,2,0,28,2,0.728916101756688,10.2048254245936
"Melrose South-Mott Haven North","BX34",40426,56.1,64.5,2,31.5,2,30.2,32.3,41.5,40.8,16.1,9.3,344.1,322.8,83.9,61,11.9,0,0,408,0,0,100.925147182506
"Morrisania-Melrose","BX35",39894,53.7,61,1.3,35.5,2.2,32,29.9,37.4,36.2,15.8,9.8,335.8,310.8,85.8,60,12.8,3,2,75,5,1.25332130144884,18.7998195217326
"University Heights-Morris Heights","BX36",52773,54.6,65.4,1.3,30,3.4,38.1,33.3,31.8,41.5,19.6,9.9,273.2,282.3,82.2,64.9,11.2,0,0,26,0,0,4.9267617910674
"Van Nest-Morris Park-Westchester Square","BX37",30617,50.8,55.6,24,10.1,10.3,31,23.5,25.5,24.6,14.4,10,384.4,107.8,83.9,39.6,10.1,8,1,531,9,2.93954339092661,173.43306006467
"Mott Haven-Port Morris","BX39",54487,52.4,71.9,1.3,25.3,1.5,27.5,36.1,42.9,46.4,14.8,10.2,313.4,290.9,81.4,63.3,10.1,1,0,37,1,0.183530016334171,6.79061060436434
"Fordham South","BX40",26690,55.2,70.8,1.5,26.1,1.5,40.8,36.5,41.5,47.4,17.4,9.8,248,329.7,79.8,66.9,12.2,1,1,10,2,0.749344323716748,3.74672161858374
"Mount Hope","BX41",52999,52.4,69.3,1.6,26.3,2.8,45,37.2,35.5,38.8,18,9.6,275.4,261.3,83.4,62,12,3,0,265,3,0.566048416007849,50.0009434140267
"Norwood","BX43",41804,53.6,57.6,11.2,17.4,13.7,42.4,34.2,27.7,29.4,14.3,8.8,270.5,204.5,84.6,52.5,9.6,8,0,1206,8,1.91369246962013,288.489139795235
"Williamsbridge-Olinville","BX44",61934,54.7,24.8,2.5,68.8,3.9,39.1,10.1,22.6,23.9,18.5,9.3,307.4,330.2,86.2,43.5,14.9,2,0,103,2,0.322924403397165,16.630606774954
"Parkchester","BX46",29368,52.8,35.4,2.5,47.1,15,28.7,14.8,18.9,17,13.3,9.9,375.8,154.9,89.3,38.7,10.3,1,0,10,1,0.340506673930809,3.40506673930809
"Pelham Parkway","BX49",29911,53.5,38.5,37,11.9,12.6,35.4,24.9,21.5,17.3,10.6,8.1,268.3,88.6,86.8,30.6,9,2,0,379,2,0.668650329310287,126.709237404299
"Schuylerville-Throgs Neck-Edgewater Park","BX52",49311,51.4,41.5,43.3,8.8,6.5,16.4,11.7,18,16,9.9,11.6,304.2,67.9,90,21.1,10.5,0,0,48,0,0,9.7341363995863
"Soundview-Bruckner","BX55",36966,51.3,62.2,2.1,24,11.7,42.5,34.7,41.2,35.5,13.5,9.8,312.2,169.1,78.9,53.8,12.5,1,0,14,1,0.270518855164205,3.78726397229887
"Westchester-Unionport","BX59",27952,52.6,62.2,4.8,15.7,17.3,33.2,25.6,27.6,22.8,16.3,9.5,216.9,132.4,85.7,44.7,11.8,0,0,35,0,0,12.5214653692043
"Woodlawn-Wakefield","BX62",44266,53,18,16.3,60.1,5.5,42.2,7.1,16.4,15.5,13.4,9.9,296.4,184.1,86.2,28,14.9,2,0,68,2,0.451814033343876,15.3616771336918
"West Concourse","BX63",37852,52.5,69.1,1.2,24.4,5.1,47.1,39.9,37,36.6,15.2,10.6,304,212.7,82.6,60,10.6,1,0,28,1,0.264186832928247,7.39723132199091
"Crotona Park East","BX75",20756,54.6,67.3,1,30,1.7,34.2,24.9,37.8,44.7,18.4,11.5,292.8,274.6,85.4,61,12.7,0,0,4,0,0,1.92715359414145
"Marble Hill-Inwood","MN01",51422,52.2,76,13.8,7.1,3,48,39.9,29.8,26.9,16.5,7.9,192.6,187.7,82.9,40.9,7,1,0,30,1,0.194469293298588,5.83407879895764
"Central Harlem North-Polo Grounds","MN03",81355,53.9,23.8,7.9,62.3,5.9,22.3,11.6,21.4,30.2,17.1,11.3,245.1,494.7,84.7,41.1,11.7,1,0,246,1,0.122918075102944,30.2378464753242
"Hamilton Heights","MN04",51644,51.8,48,14.2,31.8,6,35.5,25,26.3,28.8,12,8.9,262.4,454.1,81.8,38.4,9.5,1,1,22,2,0.387266671830222,4.25993339013244
"Manhattanville","MN06",23155,52.5,56.7,9.7,28,5.6,39.1,29.5,33.5,33.1,9.1,11.2,235.9,371.4,83.1,42.4,8.5,1,0,7,1,0.431872165838912,3.02310516087238
"Morningside Heights","MN09",55450,55.1,22.1,47.7,11.5,18.7,30.1,12.5,11.7,24.2,7.3,7.8,133.9,208.3,92.6,17.6,7,1,0,752,1,0.18034265103697,135.617673579802
"Central Harlem South","MN11",48596,54.4,19.7,18.7,54.9,6.8,23.5,11.5,16.8,27.3,8.1,10.1,177.6,431.1,89.1,31.3,9.7,3,0,83,3,0.617334760062556,17.0795950283974
"Upper West Side","MN12",136740,54.8,16.2,65.7,8.1,10,22.2,8.5,6.8,10.8,6.5,8.7,127.3,132,92.4,12.1,3.2,0,1,290,1,0.0731314904197748,21.2081322217347
"Hudson Yards-Chelsea-Flat Iron-Union Square","MN13",76034,49,14,63.1,6.1,16.7,22.9,8,5.8,12.6,6.6,9.4,134.7,701.7,93,15.7,3.4,3,2,297,5,0.657600547123655,39.0614724991451
"Lincoln Square","MN14",59654,51.5,9.5,74.8,2.4,13.1,22.8,6.6,2.6,8,5.7,8.3,117.9,138.3,95.9,7,2.4,0,0,706,0,0,118.349146746237
"Clinton","MN15",41972,46.1,20.7,58.2,5.2,15.9,30.7,12,8.1,12.4,7.8,8.6,159.3,1149.6,88.2,20.8,6.4,2,1,107,3,0.714762222434004,25.4931859334795
"Midtown-Midtown South","MN17",28305,52,7.7,63.9,4,24.5,33.3,10.5,3.8,13.4,5.6,6.6,200.7,360.4,93.6,15.7,3,2,1,552,3,1.05988341282459,195.018547959724
"Turtle Bay-East Midtown","MN19",48998,55.3,6.8,74.3,1.9,17.1,24.7,5.3,2,6.2,4.3,8.8,116.6,116.3,96.1,3.7,2.4,4,0,362,4,0.816359851422507,73.8805665537369
"Murray Hill-Kips Bay","MN20",47514,54.7,11.5,63.6,5,19.8,24.3,9.6,4.5,12.5,5.5,6.9,175,182.1,94.3,8.9,3.2,9,0,1785,9,1.89417855789872,375.67874731658
"Gramercy","MN21",27396,55.6,7,73,4,16,18.8,4.1,2.9,9.2,7.9,7.7,NA,217.2,94.4,5.5,1.9,5,0,1131,5,1.82508395386188,412.833990363557
"East Village","MN22",43402,50.4,10.8,67.4,4.8,17,23.1,8.6,6.7,14.7,5.3,7.3,94.6,309.9,90.3,12.3,4.7,3,0,113,3,0.691212386525967,26.0356665591447
"West Village","MN23",67521,50.3,5.9,80.6,2,11.6,18.2,3.3,1.4,6.9,5.3,6.3,116.2,282.9,95.6,4,1.9,1,0,254,1,0.148102071947987,37.6179262747886
"SoHo-TriBeCa-Civic Center-Little Italy","MN24",42082,50.1,6.3,65.9,2.2,25.7,26.3,10.5,9.2,10,5,7.9,97.4,153.3,94,15.3,1.6,0,1,288,1,0.237631291288437,68.4378118910698
"Battery Park City-Lower Manhattan","MN25",42485,51.6,9.1,65.3,2.9,22.7,29.3,7.3,4.1,7.6,4.3,8.1,135.8,162.4,94.5,11.1,2.4,0,0,487,0,0,114.628692479699
"Chinatown","MN27",45091,48.4,13.6,16.7,4.1,65.6,53.8,46.1,38.7,29,9.1,6,104.8,276.1,84.8,59.7,4.2,2,0,79,2,0.443547492847797,17.520125967488
"Lower East Side","MN28",74835,54.1,39.3,22.5,9.4,28.7,31.6,30.9,30.9,28.2,11.2,9.7,162.7,211.1,90,47.3,5.5,0,1,35,1,0.133627313422864,4.67695596980023
"Lenox Hill-Roosevelt Island","MN31",79735,56.7,8.1,74.1,4.2,13.7,27.7,7.8,3.6,8.2,4.3,7.2,103.6,76.5,95,5.9,2.4,10,0,1721,10,1.25415438640497,215.839969900295
"Yorkville","MN32",80887,57.4,9.3,76.5,2.8,11.3,20.3,5.9,4,7.2,5.4,7.8,138.5,77.3,93.4,7.2,2.4,2,0,257,2,0.247258521146785,31.7727199673619
"East Harlem South","MN33",58618,52.9,42.8,19.5,24.9,12.9,28.1,20.4,24,26.9,12.2,11,249.9,244,85.3,41.5,7.4,7,1,1028,8,1.36476850114299,175.372752396875
"East Harlem North","MN34",60405,54.5,49.7,8.3,35.3,6.7,24,21.2,29.2,37.1,11.3,11.1,257.5,351.8,84.7,50.2,9.8,5,1,62,6,0.993295257015148,10.2640509891565
"Washington Heights North","MN35",73704,49.8,65.7,25.3,4.9,4.1,46.6,34.8,25.8,20,12.9,9.4,169.2,196.7,86.6,36.2,5.8,1,0,58,1,0.13567784652122,7.86931509823076
"Washington Heights South","MN36",89251,50.1,72,11.9,11.1,5.1,48.5,41.8,34,27.5,14.4,8.3,199,296.4,81.5,43.2,7.6,5,0,1250,5,0.560217812685572,140.054453171393
"Upper East Side-Carnegie Hill","MN40",58760,55.9,5.4,85.5,1.1,8,18.7,3.6,2,5.9,4.4,7,148.6,47.7,97.6,2.2,2,2,0,1408,2,0.340367597004765,239.618788291355
"Stuyvesant Town-Cooper Village","MN50",21761,57.6,7.9,72.6,3.4,16,19.3,4.8,2.4,11.1,4.6,9.4,135,165.4,93.2,4.1,2.1,0,0,17,0,0,7.81214098616791
"South Jamaica","QN01",44116,52.2,24.9,0.5,61.7,12.9,32.5,9.8,22.3,19.8,19.8,11.9,334.9,198.3,84.8,39.2,11.4,0,0,7,0,0,1.58672590443377
"Springfield Gardens North","QN02",27396,59.3,12.2,1.2,84.3,2.1,24.9,4.9,14.8,12.9,12.8,10.7,358,164.3,90.4,24.6,12,0,0,5,0,0,1.82508395386188
"Springfield Gardens South-Brookville","QN03",21160,54.7,6.4,1.7,86.9,4.9,38.8,6.5,14.6,12,11.7,11.2,398.9,144.1,89.6,27.6,12.8,0,0,17,0,0,8.03402646502836
"Rosedale","QN05",26989,56.1,7,5.4,82.9,4.8,40.9,7.6,11.9,8.7,6.6,11.5,371,101.9,89.1,22.4,11.5,0,0,3,0,0,1.1115639705065
"Jamaica Estates-Holliswood","QN06",25818,55.3,16.2,22.8,25.2,35.9,49,20.9,13.5,12.8,7.2,7.6,175.1,38.7,89,27.2,7,0,0,82,0,0,31.7607870477961
"Hollis","QN07",21294,54,10.5,2.5,63.9,23.2,46.1,9.7,16.9,11.6,15.1,12.2,301.2,145.6,85.2,33.9,12.8,0,0,2,0,0,0.939231708462478
"St. Albans","QN08",53797,54.7,7,1,88.1,3.9,35.8,5.6,12.6,9.3,13.6,11.7,275.7,202.6,87.4,24.7,9.5,1,0,19,1,0.185883971225161,3.53179545327806
"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","QN10",28972,51,11.1,77.9,7.9,3.1,12.3,6.2,11.8,7.6,8,9.9,182.9,36.2,92.5,15.6,5.3,0,0,15,0,0,5.17741267430623
"Hammels-Arverne-Edgemere","QN12",36226,53.6,25.1,17.6,49.7,7.6,26.8,13.4,25.5,26,14.7,10.9,290.5,190.5,88.4,48.3,14.3,0,1,28,1,0.27604482968034,7.72925523104952
"Far Rockaway-Bayswater","QN15",52266,53.3,27.8,25.2,42,5.1,34.4,19.5,29.1,23.2,10.2,9.9,159.7,115.8,86.5,42.8,10.4,3,0,106,3,0.573986913098381,20.2808709294761
"Forest Hills","QN17",85251,53,14,56.2,2.7,27.2,47.3,23.5,7.4,10.2,6.8,6.7,123.7,31.1,91.3,20.4,3.3,0,0,305,0,0,35.7767064315961
"Rego Park","QN18",26490,53.5,18,45.7,1.9,34.4,58.7,35.7,10.1,10.1,7.7,7.9,173.3,43.4,86.5,31.4,5.2,2,0,102,2,0.755001887504719,38.5050962627407
"Glendale","QN19",32778,50.5,35.9,57.4,0.9,5.8,30.5,16.6,16.4,12,8,8.6,163.4,61,87.9,24.2,5.7,0,0,18,0,0,5.49148819330038
"Ridgewood","QN20",70234,50.5,48.5,40.4,2,9.1,44.7,29.5,23,20.1,8.1,7.6,184.8,71.2,79,34.5,8.5,1,0,41,1,0.142381182902868,5.83762849901757
"Middle Village","QN21",38169,52.2,17,74.1,0.7,8.1,32.6,17.4,14.9,9,7.9,7.2,155.7,26.2,90.7,18.8,3.9,0,0,21,0,0,5.50184704865205
"Flushing","QN22",70193,53.3,15.1,8.9,3.8,72.3,71.3,63,26.2,23.6,8.3,5.9,131.9,38.5,75.1,66,8.6,0,1,249,1,0.142464348296839,35.4736227259128
"College Point","QN23",25113,50.2,36.7,27.5,1.7,34.3,47.6,39.6,21.1,12.9,9.2,7.3,96.3,29.9,81,42.8,5,0,0,8,0,0,3.18560108310437
"Corona","QN25",57150,48.3,59.6,8.3,17.6,14.5,56.6,44.7,33.8,23.9,7.5,8.2,188.8,63.9,72.7,47.2,8.3,2,0,2,2,0.349956255468066,0.349956255468066
"North Corona","QN26",53290,44.3,86.9,1,4.2,7.9,66.6,61.4,46.6,25.2,6,7.4,207.5,85.4,58.5,49.1,9.4,1,0,10,1,0.187652467629949,1.87652467629949
"East Elmhurst","QN27",22716,47.4,62.4,4.9,24.4,8.3,55.1,36.1,25,20.6,9.1,7.2,266.5,107.9,73.9,48.3,10.5,0,0,0,0,0,0
"Jackson Heights","QN28",105083,49.8,55.3,16.1,1.8,26.8,62,44.1,23.6,18.4,9.4,7.4,216.8,104.2,76.7,39.7,9.2,1,0,89,1,0.0951628712541515,8.46949554161948
"Elmhurst","QN29",87373,48,44.3,6.3,1.4,48,69.4,57.7,30.6,20.5,6.2,7.2,229.6,69.2,72.6,45.8,8.4,0,0,419,0,0,47.9553180044178
"Maspeth","QN30",26608,51.4,28.2,57.5,1,13.3,40.5,24.9,15.7,12,9,7,162.4,35.7,83,32.3,6.2,0,0,16,0,0,6.01322910402886
"Hunters Point-Sunnyside-West Maspeth","QN31",63936,50.5,33.1,37.6,2.1,27.2,51.3,33.7,16.3,14.2,6.5,7.6,157.6,115,78.4,27,6.2,1,0,49,1,0.156406406406406,7.66391391391391
"Cambria Heights","QN33",19688,54.8,3.9,1.6,91.1,3.3,38.7,6.3,10.1,4.8,6.7,13.2,240,119.4,89.5,19.8,8.8,0,0,2,0,0,1.01584721657863
"Queens Village","QN34",56705,52.4,17.6,6.2,49.3,27,51.1,17.4,17.1,10.8,13,11.1,261,99.6,86,27.2,8.7,0,0,19,0,0,3.35067454369103
"Briarwood-Jamaica Hills","QN35",40027,51.2,25.8,19.4,10.8,44.2,56.8,31.1,15.8,15.8,12.9,9.3,184.2,45,80.1,39.6,8,0,0,31,0,0,7.74477227871187
"Kew Gardens Hills","QN37",38081,52.2,12.3,52.1,7.2,28.3,40.2,23.3,12.2,13.8,8.2,8,136.6,39.4,90.6,30.7,3.7,0,0,21,0,0,5.51456106719887
"Pomonok-Flushing Heights-Hillcrest","QN38",33925,53.7,21.8,34.8,10.6,32.8,38.4,26.2,14.2,20.5,12.5,8.5,184.9,56,91.4,32.6,6.5,0,0,233,0,0,68.6809137803979
"Fresh Meadows-Utopia","QN41",18074,51.5,13.2,31.9,3.6,51.2,49.6,30.2,12.3,12.9,10.4,5.7,183,16.6,85.5,28.3,4.6,0,0,16,0,0,8.85249529711187
"Oakland Gardens","QN42",28103,51.6,7.6,40.9,1.9,49.6,44.8,29.1,8.8,9.3,6.6,9.4,NA,24.9,88.4,23.5,4.8,0,0,14,0,0,4.98167455431804
"Bellerose","QN43",26609,51.5,19.8,30.6,5.7,43.9,41.6,23.4,12.8,10.5,6.7,9.2,161.3,31.9,91,24.4,5,1,0,27,1,0.375812694952835,10.1469427637266
"Glen Oaks-Floral Park-New Hyde Park","QN44",22327,54.6,8.1,49.1,4.3,38.4,34.7,15.3,9.3,7.5,8.7,10.3,189.3,NA,92.7,17.3,2.2,1,0,281,1,0.447888207103507,125.856586196085
