"total_pop","female","hispanic","white","black","other","foreign_born","limited_eng","education","poverty","unemployment","health_ins","medicaid_enroll","late_no_prenatal_care","clinics_and_chc_density","non_pcmd_density"
45091,48.4,13.6,16.7,4.1,65.6,53.8,46.1,38.7,29,9.1,84.8,59.7,4.2,0.443547492847797,17.520125967488
74835,54.1,39.3,22.5,9.4,28.7,31.6,30.9,30.9,28.2,11.2,90,47.3,5.5,0.133627313422864,4.67695596980023
79735,56.7,8.1,74.1,4.2,13.7,27.7,7.8,3.6,8.2,4.3,95,5.9,2.4,1.25415438640497,215.839969900295
80887,57.4,9.3,76.5,2.8,11.3,20.3,5.9,4,7.2,5.4,93.4,7.2,2.4,0.247258521146785,31.7727199673619
58618,52.9,42.8,19.5,24.9,12.9,28.1,20.4,24,26.9,12.2,85.3,41.5,7.4,1.36476850114299,175.372752396875
60405,54.5,49.7,8.3,35.3,6.7,24,21.2,29.2,37.1,11.3,84.7,50.2,9.8,0.993295257015148,10.2640509891565
73704,49.8,65.7,25.3,4.9,4.1,46.6,34.8,25.8,20,12.9,86.6,36.2,5.8,0.13567784652122,7.86931509823076
89251,50.1,72,11.9,11.1,5.1,48.5,41.8,34,27.5,14.4,81.5,43.2,7.6,0.560217812685572,140.054453171393
58760,55.9,5.4,85.5,1.1,8,18.7,3.6,2,5.9,4.4,97.6,2.2,2,0.340367597004765,239.618788291355
21761,57.6,7.9,72.6,3.4,16,19.3,4.8,2.4,11.1,4.6,93.2,4.1,2.1,0,7.81214098616791
44116,52.2,24.9,0.5,61.7,12.9,32.5,9.8,22.3,19.8,19.8,84.8,39.2,11.4,0,1.58672590443377
27396,59.3,12.2,1.2,84.3,2.1,24.9,4.9,14.8,12.9,12.8,90.4,24.6,12,0,1.82508395386188
21160,54.7,6.4,1.7,86.9,4.9,38.8,6.5,14.6,12,11.7,89.6,27.6,12.8,0,8.03402646502836
26989,56.1,7,5.4,82.9,4.8,40.9,7.6,11.9,8.7,6.6,89.1,22.4,11.5,0,1.1115639705065
25818,55.3,16.2,22.8,25.2,35.9,49,20.9,13.5,12.8,7.2,89,27.2,7,0,31.7607870477961
21294,54,10.5,2.5,63.9,23.2,46.1,9.7,16.9,11.6,15.1,85.2,33.9,12.8,0,0.939231708462478
53797,54.7,7,1,88.1,3.9,35.8,5.6,12.6,9.3,13.6,87.4,24.7,9.5,0.185883971225161,3.53179545327806
28972,51,11.1,77.9,7.9,3.1,12.3,6.2,11.8,7.6,8,92.5,15.6,5.3,0,5.17741267430623
36226,53.6,25.1,17.6,49.7,7.6,26.8,13.4,25.5,26,14.7,88.4,48.3,14.3,0.27604482968034,7.72925523104952
52266,53.3,27.8,25.2,42,5.1,34.4,19.5,29.1,23.2,10.2,86.5,42.8,10.4,0.573986913098381,20.2808709294761
85251,53,14,56.2,2.7,27.2,47.3,23.5,7.4,10.2,6.8,91.3,20.4,3.3,0,35.7767064315961
26490,53.5,18,45.7,1.9,34.4,58.7,35.7,10.1,10.1,7.7,86.5,31.4,5.2,0.755001887504719,38.5050962627407
32778,50.5,35.9,57.4,0.9,5.8,30.5,16.6,16.4,12,8,87.9,24.2,5.7,0,5.49148819330038
70234,50.5,48.5,40.4,2,9.1,44.7,29.5,23,20.1,8.1,79,34.5,8.5,0.142381182902868,5.83762849901757
38169,52.2,17,74.1,0.7,8.1,32.6,17.4,14.9,9,7.9,90.7,18.8,3.9,0,5.50184704865205
70193,53.3,15.1,8.9,3.8,72.3,71.3,63,26.2,23.6,8.3,75.1,66,8.6,0.142464348296839,35.4736227259128
25113,50.2,36.7,27.5,1.7,34.3,47.6,39.6,21.1,12.9,9.2,81,42.8,5,0,3.18560108310437
